address,city_name,cleanliness,comment_count,distance_tip,district_name,fangdong_house_count,fangdong_id,fangdong_nick_name,fangdong_tags,fangdong_tel,fangwu_src,favorite_count,house_decoration,house_id,house_in,house_jishi,house_mianji,house_out,house_ren_count,house_type,latitude,longitude,name,overall,price,services,source,traffic,unit_infor
阳光新路21号阳光100国际新城,济南,4.9,51,近大观园/和谐广场商圈,槐荫区,,3827076,济南途掌柜102347精品民宿,自营民宿,155BBws1080,https://www.tujia.com/detail/9357272.htm,181,5.0,9357272,14:00后入住,2室2厅 1卫1厨,135㎡,12:00前退房,宜住4人,整套普通公寓,36.64257584772629,116.98251772924677,【班禾】儿童医院和谐广场带按摩椅两居室,4.9,219,5.0,tujia,4.9,距大观园/和谐广场商圈直线2.4公里
经三纬一路口万达公寓,济南,4.5,83,近火车站,市中区,,32544,济南万达暮晓公寓,"个人房东,实名验证",180DIdv8317,https://www.tujia.com/detail/130365.htm,1381,4.5,130365,14:00后入住,1室0厅 1卫1厨,50㎡,12:00前退房,宜住2人,整套酒店式公寓,36.669963,117.005892,万达广场暮晓海风田园房,4.6,218,4.7,tujia,4.8,距火车站直线1.6公里
 舜风路(凤凰路与舜风路交汇处西行100米万科麓公馆小区),济南,5.0,2,近高新区/奥体中心,历下区,,6092164,蛋壳小寓,"商户经营,超赞房东",156EEgJ8222,https://www.tujia.com/detail/19901001.htm,26,5.0,19901001,14:00后入住,1室0厅 1卫1厨,44㎡,12:00前退房,宜住2人,整套酒店式公寓,36.68183620009578,117.15346194839974,济南东站遥墙机场汉峪金谷市政府齐鲁软件园,4.9,186,5.0,tujia,4.5,距高新区/奥体中心直线2.4公里
花园路290号华夏福地,济南,4.9,21,近大明湖/泉城广场/趵突泉,历下区,,5451167,路客精品民宿BJ0770,商户经营,400DxKc270,https://www.tujia.com/detail/14393002.htm,135,4.9,14393002,15:00后入住,2室1厅 1卫1厨,72㎡,12:00前退房,宜住4人,整套普通公寓,36.68481882468154,117.03940472850135,初夏特惠丨大明湖趵突泉咖啡时尚宽敞两,4.9,1344,4.9,tujia,4.9,距大明湖/泉城广场/趵突泉直线2.1公里
教职工宿舍-4号楼,济南,5.0,9,近长清大学城,长清区,,4470845,拾光驿栈,"个人房东,超赞房东,实名验证",186ETik3623,https://www.tujia.com/detail/15919814.htm,137,4.9,15919814,15:00后入住,2室1厅 1卫0厨,89㎡,12:00前退房,宜住4人（可加2人）,整套普通公寓,36.567321907763656,116.82884799999992,恬静时光&100寸巨幕投影&安静温馨两居,5.0,313,5.0,tujia,5.0,距长清大学城直线907米
杨胡公寓(距离ld吧。章丘火车站汽车站1.5公里 alt),济南,5.0,6,,章丘区,,4709328,天一,"个人房东,实名验证",139DJDX6961,https://www.tujia.com/detail/12058180.htm,87,4.8,12058180,15:00后入住,2室2厅 1卫1厨,92㎡,13:00前退房,宜住4人（可加2人）,整套普通公寓,36.71886269756608,117.51651316414588,章丘温馨家居风格两居公寓,5.0,188,5.0,tujia,5.0,
欧亚大观,济南,5.0,7,近大观园/和谐广场商圈,市中区,,4720801,唯爱民宿,商户经营,130DWla5310,https://www.tujia.com/detail/12077276.htm,93,5.0,12077276,14:00后入住,1室1厅 2卫1厨,50㎡,12:00前退房,宜住2人,整套Loft复式,36.639352463488024,116.9888105768846,欧式大床 两卫,4.9,268,4.9,tujia,4.9,距大观园/和谐广场商圈直线2.6公里
财富壹号,济南,5.0,8,近大观园/和谐广场商圈,槐荫区,,6284510,济南途掌柜122859精品民宿,自营民宿,133Btbb1159,https://www.tujia.com/detail/17129932.htm,12,5.0,17129932,14:00后入住,3室1厅 2卫0厨,136㎡,12:00前退房,宜住5人,整套普通公寓,36.654362,116.946197,【班禾】免费停车/投影仪/特惠三居室,5.0,429,5.0,tujia,5.0,距大观园/和谐广场商圈直线4公里
姚家东路与姚家街交叉口(万象城上),济南,5.0,2,近高新区/奥体中心,历下区,,6244659,万象城悦玺民宿,"商户经营,超赞房东,实名验证",180AuSi6227,https://www.tujia.com/detail/17100287.htm,48,5.0,17100287,14:00后入住,1室0厅 1卫0厨,46㎡,12:00前退房,宜住2人,整套普通公寓,36.666152,117.105977,【悦玺•罗曼蒂克】30奥体万象城投影一居,5.0,358,5.0,tujia,5.0,距高新区/奥体中心直线3.6公里
凯旋新城西区,济南,5.0,11,近大观园/和谐广场商圈,槐荫区,,5718938,刘晓龙,"个人房东,超赞房东,实名验证",156AMMz2007,https://www.tujia.com/detail/15135807.htm,40,5.0,15135807,14:00后入住,1室1厅 1卫1厨,77㎡,12:00前退房,宜住2人（可加1人）,整套普通公寓,36.65480577865815,116.95633828164273,儿童医院五院和谐广场西站会展温馨房带暖气,5.0,151,5.0,tujia,5.0,距大观园/和谐广场商圈直线3.1公里
舜华路街道 新泺大街(齐鲁软件园旁美莲广场对面),济南,5.0,2,近高新区/奥体中心,历下区,,5050144,泉城兰亭小筑,"个人房东,超赞房东,实名验证",131DvbU1959,https://www.tujia.com/detail/17765287.htm,27,5.0,17765287,14:00后入住,1室0厅 1卫0厨,47㎡,12:00前退房,宜住2人,整套普通公寓,36.682052,117.140801,5齐鲁软件园高新万达汉峪金谷奥体原木风,5.0,205,5.0,tujia,5.0,距高新区/奥体中心直线1.5公里
华福维嘉公寓,济南,5.0,3,近北园,历城区,,6025363,奈斯·福,"个人房东,超赞房东,实名验证",176EhtA3507,https://www.tujia.com/detail/17146977.htm,34,5.0,17146977,14:00-24:00,1室0厅 1卫0厨,50㎡,12:00前退房,宜住2人,整套普通公寓,36.704092,117.062652,华福v+公寓|简约舒适大床泡泡房|邻荣盛,5.0,208,5.0,tujia,5.0,距北园直线1.8公里
堤口路88号名泉公寓,济南,4.8,8,近火车站,天桥区,,87251,美墅公寓,"个人房东,超赞房东,实名验证",139Ayqf1258,https://www.tujia.com/detail/257276.htm,204,4.8,257276,12:00后入住,1室1厅 1卫0厨,37㎡,24:00前退房,宜住2人,整套Loft复式,36.681231666174554,116.98704518901704,阳光主题房,4.7,188,4.8,tujia,4.6,距火车站直线514米
花园路290号华夏福地,济南,4.8,20,近大明湖/泉城广场/趵突泉,历下区,,5452749,路客精品民宿BJ0790,商户经营,400DxKc270,https://www.tujia.com/detail/14398343.htm,76,4.8,14398343,15:00后入住,2室1厅 1卫1厨,71㎡,12:00前退房,宜住4人,整套普通公寓,36.68481882468154,117.03940472850135,初夏特惠丨大明湖东临趵突泉精品古典两,4.8,1350,4.8,tujia,4.8,距大明湖/泉城广场/趵突泉直线2.1公里
姚家东路与姚家街交叉口(万象城上),济南,5.0,2,近高新区/奥体中心,历下区,,6244659,万象城悦玺民宿,"商户经营,超赞房东,实名验证",180AuSi6227,https://www.tujia.com/detail/17146683.htm,49,5.0,17146683,14:00后入住,1室0厅 1卫0厨,46㎡,12:00前退房,宜住2人,整套普通公寓,36.666152,117.105977,【悦玺•日式百寸一居室】•30奥体万象城,5.0,358,5.0,tujia,5.0,距高新区/奥体中心直线3.6公里
绿城兰悦(在燕子山路和文化东路交叉口西南角蓝色玻璃高层公寓),济南,5.0,6,近山师/山大/洪楼,历下区,,5920272,禾田 hotin,"个人房东,实名验证",186DlUR9737,https://www.tujia.com/detail/16378363.htm,23,5.0,16378363,15:00后入住,1室0厅 1卫0厨,41㎡,12:00前退房,宜住2人,整套普通公寓,36.658208194265555,117.06882214630907,禾田-太舒服/投影/惊喜/干净/连住优惠,5.0,289,5.0,tujia,5.0,距山师/山大/洪楼直线2.4公里
民营经科园路(恒大滨河左岸4号公寓楼),济南,3.5,2,近北园,天桥区,,3786595,海星精品loft公寓,商户经营,155BuWZ7971,https://www.tujia.com/detail/10241393.htm,86,4.0,10241393,13:00后入住,1室1厅 1卫0厨,60㎡,12:00前退房,宜住2人,整套Loft复式,36.71243979886187,117.03482674421817,大明湖/泉城广场/温馨舒适/复式大床房,3.8,138,4.0,tujia,3.5,距北园直线1.4公里
经一路和信广场,济南,0.0,0,近火车站,天桥区,,8163009,济南拾光公寓,"商户经营,实名验证",131BnGL7867,https://www.tujia.com/detail/24713669.htm,,0.0,24713669,14:00后入住,1室0厅 1卫0厨,40㎡,12:00前退房,宜住2人,整套普通公寓,36.675546,117.006713,大明湖/泉城广场商圈巨幕影视标准间,0.0,232,0.0,tujia,0.0,距火车站直线1.4公里
大杨新区西区,济南,0.0,0,近西客站,槐荫区,,1064717,西城三舍,"个人房东,实名验证",176AhWD2022,https://www.tujia.com/detail/18723685.htm,26,0.0,18723685,14:00后入住,2室2厅 1卫1厨,102㎡,12:00前退房,宜住4人（可加1人）,整套普通公寓,36.65212491018006,116.90060304527223,短租优惠西客站肿瘤医院高层电梯精装两室,0.0,321,0.0,tujia,0.0,距西客站直线2.4公里
纬一路与馆驿街交叉口(和信广场),济南,4.5,6,近火车站,天桥区,,218128,和之信精品民宿（点击头像浏览更多房源）,"商户经营,超赞房东,实名验证",137EXdf0402,https://www.tujia.com/detail/11737139.htm,120,4.7,11737139,14:00后入住,1室0厅 1卫0厨,53㎡,12:00前退房,宜住2人,整套普通公寓,36.67510275771164,117.0062329947102,北欧简约风近万达火车站大明湖趵突泉大一居,4.8,338,5.0,tujia,4.8,距火车站直线1.4公里
经一路和信广场,济南,5.0,1,近火车站,天桥区,,8163009,济南拾光公寓,"商户经营,实名验证",131BnGL7867,https://www.tujia.com/detail/24713711.htm,,5.0,24713711,14:00后入住,1室0厅 1卫0厨,45㎡,12:00前退房,宜住2人,整套普通公寓,36.675546,117.006713,大明湖/泉城广场商圈巨幕影视大床房,5.0,222,5.0,tujia,5.0,距火车站直线1.4公里
堤口路名泉春晓A1座,济南,4.7,36,近火车站,天桥区,,34327,名泉公寓,"个人房东,超赞房东,实名验证",188DKgD1799,https://www.tujia.com/detail/113455.htm,725,4.7,113455,14:00后入住,1室1厅 1卫1厨,60㎡,12:00前退房,宜住2人,整套Loft复式,36.68121,116.986804,名泉春晓主题日租房,4.8,178,4.9,tujia,4.9,距火车站直线530米
恒大城,济南,5.0,1,近高新区/奥体中心,历城区,,6023242,百洋时尚主题公寓,商户经营,133Bemy6056,https://www.tujia.com/detail/16961498.htm,7,5.0,16961498,14:00后入住,1室0厅 1卫0厨,58㎡,12:00前退房,宜住2人,整套普通公寓,36.724720910104594,117.14720425768222,济南东站【晚安•Morandi】大床房,5.0,194,5.0,tujia,5.0,距高新区/奥体中心直线3.9公里
和信城市广场,济南,3.8,10,近火车站,天桥区,,3786595,海星精品loft公寓,商户经营,155BuWZ7971,https://www.tujia.com/detail/13575241.htm,168,4.1,13575241,14:00后入住,1室0厅 1卫0厨,47㎡,12:00前退房,宜住2人,整套普通公寓,36.67525767680574,117.00628911162248,近大明湖火车站泉城广场趵突泉万达【雨荷】,4.0,138,3.9,tujia,4.3,距火车站直线1.4公里
华福维嘉公寓,济南,5.0,4,近北园,历城区,,6025363,奈斯·福,"个人房东,超赞房东,实名验证",176EhtA3507,https://www.tujia.com/detail/16905869.htm,48,5.0,16905869,14:00-24:00,1室0厅 1卫0厨,50㎡,12:00前退房,宜住2人,整套普通公寓,36.704146,117.062638,【奈斯·福】北园大街邻荣盛|简约一居公寓,5.0,208,5.0,tujia,5.0,距北园直线1.8公里
经五路119(幼儿园对面),济南,5.0,25,近大观园/和谐广场商圈,市中区,,2583870,白羽,"个人房东,超赞房东,实名验证",155AeqQ3199,https://www.tujia.com/detail/6065061.htm,291,5.0,6065061,14:00后入住,2室1厅 1卫1厨,67㎡,12:00前退房,宜住4人（可加1人）,整套Loft复式,36.66603191380532,117.00052999999993,济南火车站大观园万达广场新东方温暖的家,5.0,280,5.0,tujia,5.0,距大观园/和谐广场商圈直线1公里
会展西路香格里拉西北塔,济南,0.0,0,近高新区/奥体中心,高新区,,97623,泉城广场芙蓉街服装设计师的家,"个人房东,实名验证",183DRqt7673,https://www.tujia.com/detail/1070939.htm,44,0.0,1070939,14:00后入住,1室0厅 1卫1厨,75㎡,12:00前退房,宜住2人,整套普通公寓,36.693487,117.128913,08济南高新万达广场 会展中心洋溢一居,0.0,196,0.0,tujia,0.0,距高新区/奥体中心直线174米
岱宗街,济南,4.8,4,近大明湖/泉城广场/趵突泉,历下区,,4080630,木屋之家民宿,"个人房东,实名验证",183Cejj7218,https://www.tujia.com/detail/17183762.htm,133,4.8,17183762,14:00后入住,1室0厅 1卫0厨,16㎡,12:00前退房,宜住2人,整套客栈,36.677077,117.032505,【已消毒】石板涯__芙蓉街大明湖百花洲,4.9,168,5.0,tujia,5.0,距大明湖/泉城广场/趵突泉直线1.1公里
明湖西路,济南,0.0,0,近火车站,天桥区,,9951159,奈斯精品酒店(济南火车站店),"商户经营,实名验证",137EXdf0402,https://www.tujia.com/detail/34389097.htm,,0.0,34389097,14:00后入住,1室0厅 1卫0厨,34㎡,12:00前退房,宜住2人,整套普通公寓,36.675569,117.006671,大明湖/泉城广场商圈精选黑色ins大床房,0.0,282,0.0,tujia,0.0,距火车站直线1.4公里
宝华街官扎营新,济南,4.7,45,近火车站,天桥区,,192195,路客精品民宿BB8950,商户经营,400DxKc270,https://www.tujia.com/detail/483291.htm,306,4.8,483291,15:00后入住,2室1厅 1卫1厨,60㎡,12:00前退房,宜住4人,整套普通公寓,36.67994498290348,116.99802985341823,【路客】初夏夜8折丨大明湖济南站趵突泉泉,4.8,1803,4.8,tujia,4.8,距火车站直线591米
